location_id,latitude,longitude,elevation,utc_offset_seconds,timezone,timezone_abbreviation
0,-6,16,NaN,0,GMT,GMT
1,-6,16.25,NaN,0,GMT,GMT
2,-6,16.5,NaN,0,GMT,GMT
3,-6,16.75,NaN,0,GMT,GMT
4,-6,17,NaN,0,GMT,GMT
5,-6,17.25,NaN,0,GMT,GMT
6,-6,17.5,NaN,0,GMT,GMT
7,-6,17.75,NaN,0,GMT,GMT
8,-6,18,NaN,0,GMT,GMT
9,-6,18.25,NaN,0,GMT,GMT
10,-6,18.5,NaN,0,GMT,GMT
11,-6,18.75,NaN,0,GMT,GMT
12,-6,19,NaN,0,GMT,GMT
13,-6,19.25,NaN,0,GMT,GMT
14,-6,19.5,NaN,0,GMT,GMT
15,-6,19.75,NaN,0,GMT,GMT
16,-5.75,16,NaN,0,GMT,GMT
17,-5.75,16.25,NaN,0,GMT,GMT
18,-5.75,16.5,NaN,0,GMT,GMT
19,-5.75,16.75,NaN,0,GMT,GMT
20,-5.75,17,NaN,0,GMT,GMT
21,-5.75,17.25,NaN,0,GMT,GMT
22,-5.75,17.5,NaN,0,GMT,GMT
23,-5.75,17.75,NaN,0,GMT,GMT
24,-5.75,18,NaN,0,GMT,GMT
25,-5.75,18.25,NaN,0,GMT,GMT
26,-5.75,18.5,NaN,0,GMT,GMT
27,-5.75,18.75,NaN,0,GMT,GMT
28,-5.75,19,NaN,0,GMT,GMT
29,-5.75,19.25,NaN,0,GMT,GMT
30,-5.75,19.5,NaN,0,GMT,GMT
31,-5.75,19.75,NaN,0,GMT,GMT
32,-5.5,16,NaN,0,GMT,GMT
33,-5.5,16.25,NaN,0,GMT,GMT
34,-5.5,16.5,NaN,0,GMT,GMT
35,-5.5,16.75,NaN,0,GMT,GMT
36,-5.5,17,NaN,0,GMT,GMT
37,-5.5,17.25,NaN,0,GMT,GMT
38,-5.5,17.5,NaN,0,GMT,GMT
39,-5.5,17.75,NaN,0,GMT,GMT
40,-5.5,18,NaN,0,GMT,GMT
41,-5.5,18.25,NaN,0,GMT,GMT
42,-5.5,18.5,NaN,0,GMT,GMT
43,-5.5,18.75,NaN,0,GMT,GMT
44,-5.5,19,NaN,0,GMT,GMT
45,-5.5,19.25,NaN,0,GMT,GMT
46,-5.5,19.5,NaN,0,GMT,GMT
47,-5.5,19.75,NaN,0,GMT,GMT
48,-5.25,16,NaN,0,GMT,GMT
49,-5.25,16.25,NaN,0,GMT,GMT
50,-5.25,16.5,NaN,0,GMT,GMT
51,-5.25,16.75,NaN,0,GMT,GMT
52,-5.25,17,NaN,0,GMT,GMT
53,-5.25,17.25,NaN,0,GMT,GMT
54,-5.25,17.5,NaN,0,GMT,GMT
55,-5.25,17.75,NaN,0,GMT,GMT
56,-5.25,18,NaN,0,GMT,GMT
57,-5.25,18.25,NaN,0,GMT,GMT
58,-5.25,18.5,NaN,0,GMT,GMT
59,-5.25,18.75,NaN,0,GMT,GMT
60,-5.25,19,NaN,0,GMT,GMT
61,-5.25,19.25,NaN,0,GMT,GMT
62,-5.25,19.5,NaN,0,GMT,GMT
63,-5.25,19.75,NaN,0,GMT,GMT
64,-5,16,NaN,0,GMT,GMT
65,-5,16.25,NaN,0,GMT,GMT
66,-5,16.5,NaN,0,GMT,GMT
67,-5,16.75,NaN,0,GMT,GMT
68,-5,17,NaN,0,GMT,GMT
69,-5,17.25,NaN,0,GMT,GMT
70,-5,17.5,NaN,0,GMT,GMT
71,-5,17.75,NaN,0,GMT,GMT
72,-5,18,NaN,0,GMT,GMT
73,-5,18.25,NaN,0,GMT,GMT
74,-5,18.5,NaN,0,GMT,GMT
75,-5,18.75,NaN,0,GMT,GMT
76,-5,19,NaN,0,GMT,GMT
77,-5,19.25,NaN,0,GMT,GMT
78,-5,19.5,NaN,0,GMT,GMT
79,-5,19.75,NaN,0,GMT,GMT
80,-4.75,16,NaN,0,GMT,GMT
81,-4.75,16.25,NaN,0,GMT,GMT
82,-4.75,16.5,NaN,0,GMT,GMT
83,-4.75,16.75,NaN,0,GMT,GMT
84,-4.75,17,NaN,0,GMT,GMT
85,-4.75,17.25,NaN,0,GMT,GMT
86,-4.75,17.5,NaN,0,GMT,GMT
87,-4.75,17.75,NaN,0,GMT,GMT
88,-4.75,18,NaN,0,GMT,GMT
89,-4.75,18.25,NaN,0,GMT,GMT
90,-4.75,18.5,NaN,0,GMT,GMT
91,-4.75,18.75,NaN,0,GMT,GMT
92,-4.75,19,NaN,0,GMT,GMT
93,-4.75,19.25,NaN,0,GMT,GMT
94,-4.75,19.5,NaN,0,GMT,GMT
95,-4.75,19.75,NaN,0,GMT,GMT
96,-4.5,16,NaN,0,GMT,GMT
97,-4.5,16.25,NaN,0,GMT,GMT
98,-4.5,16.5,NaN,0,GMT,GMT
99,-4.5,16.75,NaN,0,GMT,GMT
100,-4.5,17,NaN,0,GMT,GMT
101,-4.5,17.25,NaN,0,GMT,GMT
102,-4.5,17.5,NaN,0,GMT,GMT
103,-4.5,17.75,NaN,0,GMT,GMT
104,-4.5,18,NaN,0,GMT,GMT
105,-4.5,18.25,NaN,0,GMT,GMT
106,-4.5,18.5,NaN,0,GMT,GMT
107,-4.5,18.75,NaN,0,GMT,GMT
108,-4.5,19,NaN,0,GMT,GMT
109,-4.5,19.25,NaN,0,GMT,GMT
110,-4.5,19.5,NaN,0,GMT,GMT
111,-4.5,19.75,NaN,0,GMT,GMT
112,-4.25,16,NaN,0,GMT,GMT
113,-4.25,16.25,NaN,0,GMT,GMT
114,-4.25,16.5,NaN,0,GMT,GMT
115,-4.25,16.75,NaN,0,GMT,GMT
116,-4.25,17,NaN,0,GMT,GMT
117,-4.25,17.25,NaN,0,GMT,GMT
118,-4.25,17.5,NaN,0,GMT,GMT
119,-4.25,17.75,NaN,0,GMT,GMT
120,-4.25,18,NaN,0,GMT,GMT
121,-4.25,18.25,NaN,0,GMT,GMT
122,-4.25,18.5,NaN,0,GMT,GMT
123,-4.25,18.75,NaN,0,GMT,GMT
124,-4.25,19,NaN,0,GMT,GMT
125,-4.25,19.25,NaN,0,GMT,GMT
126,-4.25,19.5,NaN,0,GMT,GMT
127,-4.25,19.75,NaN,0,GMT,GMT
128,-4,16,NaN,0,GMT,GMT
129,-4,16.25,NaN,0,GMT,GMT
130,-4,16.5,NaN,0,GMT,GMT
131,-4,16.75,NaN,0,GMT,GMT
132,-4,17,NaN,0,GMT,GMT
133,-4,17.25,NaN,0,GMT,GMT
134,-4,17.5,NaN,0,GMT,GMT
135,-4,17.75,NaN,0,GMT,GMT
136,-4,18,NaN,0,GMT,GMT
137,-4,18.25,NaN,0,GMT,GMT
138,-4,18.5,NaN,0,GMT,GMT
139,-4,18.75,NaN,0,GMT,GMT
140,-4,19,NaN,0,GMT,GMT
141,-4,19.25,NaN,0,GMT,GMT
142,-4,19.5,NaN,0,GMT,GMT
143,-4,19.75,NaN,0,GMT,GMT
144,-3.75,16,NaN,0,GMT,GMT
145,-3.75,16.25,NaN,0,GMT,GMT
146,-3.75,16.5,NaN,0,GMT,GMT
147,-3.75,16.75,NaN,0,GMT,GMT
148,-3.75,17,NaN,0,GMT,GMT
149,-3.75,17.25,NaN,0,GMT,GMT
150,-3.75,17.5,NaN,0,GMT,GMT
151,-3.75,17.75,NaN,0,GMT,GMT
152,-3.75,18,NaN,0,GMT,GMT
153,-3.75,18.25,NaN,0,GMT,GMT
154,-3.75,18.5,NaN,0,GMT,GMT
155,-3.75,18.75,NaN,0,GMT,GMT
156,-3.75,19,NaN,0,GMT,GMT
157,-3.75,19.25,NaN,0,GMT,GMT
158,-3.75,19.5,NaN,0,GMT,GMT
159,-3.75,19.75,NaN,0,GMT,GMT
160,-3.5,16,NaN,0,GMT,GMT
161,-3.5,16.25,NaN,0,GMT,GMT
162,-3.5,16.5,NaN,0,GMT,GMT
163,-3.5,16.75,NaN,0,GMT,GMT
164,-3.5,17,NaN,0,GMT,GMT
165,-3.5,17.25,NaN,0,GMT,GMT
166,-3.5,17.5,NaN,0,GMT,GMT
167,-3.5,17.75,NaN,0,GMT,GMT
168,-3.5,18,NaN,0,GMT,GMT
169,-3.5,18.25,NaN,0,GMT,GMT
170,-3.5,18.5,NaN,0,GMT,GMT
171,-3.5,18.75,NaN,0,GMT,GMT
172,-3.5,19,NaN,0,GMT,GMT
173,-3.5,19.25,NaN,0,GMT,GMT
174,-3.5,19.5,NaN,0,GMT,GMT
175,-3.5,19.75,NaN,0,GMT,GMT
176,-3.25,16,NaN,0,GMT,GMT
177,-3.25,16.25,NaN,0,GMT,GMT
178,-3.25,16.5,NaN,0,GMT,GMT
179,-3.25,16.75,NaN,0,GMT,GMT
180,-3.25,17,NaN,0,GMT,GMT
181,-3.25,17.25,NaN,0,GMT,GMT
182,-3.25,17.5,NaN,0,GMT,GMT
183,-3.25,17.75,NaN,0,GMT,GMT
184,-3.25,18,NaN,0,GMT,GMT
185,-3.25,18.25,NaN,0,GMT,GMT
186,-3.25,18.5,NaN,0,GMT,GMT
187,-3.25,18.75,NaN,0,GMT,GMT
188,-3.25,19,NaN,0,GMT,GMT
189,-3.25,19.25,NaN,0,GMT,GMT
190,-3.25,19.5,NaN,0,GMT,GMT
191,-3.25,19.75,NaN,0,GMT,GMT
192,-3,16,NaN,0,GMT,GMT
193,-3,16.25,NaN,0,GMT,GMT
194,-3,16.5,NaN,0,GMT,GMT
195,-3,16.75,NaN,0,GMT,GMT
196,-3,17,NaN,0,GMT,GMT
197,-3,17.25,NaN,0,GMT,GMT
198,-3,17.5,NaN,0,GMT,GMT
199,-3,17.75,NaN,0,GMT,GMT
200,-3,18,NaN,0,GMT,GMT
201,-3,18.25,NaN,0,GMT,GMT
202,-3,18.5,NaN,0,GMT,GMT
203,-3,18.75,NaN,0,GMT,GMT
204,-3,19,NaN,0,GMT,GMT
205,-3,19.25,NaN,0,GMT,GMT
206,-3,19.5,NaN,0,GMT,GMT
207,-3,19.75,NaN,0,GMT,GMT
208,-2.75,16,NaN,0,GMT,GMT
209,-2.75,16.25,NaN,0,GMT,GMT
210,-2.75,16.5,NaN,0,GMT,GMT
211,-2.75,16.75,NaN,0,GMT,GMT
212,-2.75,17,NaN,0,GMT,GMT
213,-2.75,17.25,NaN,0,GMT,GMT
214,-2.75,17.5,NaN,0,GMT,GMT
215,-2.75,17.75,NaN,0,GMT,GMT
216,-2.75,18,NaN,0,GMT,GMT
217,-2.75,18.25,NaN,0,GMT,GMT
218,-2.75,18.5,NaN,0,GMT,GMT
219,-2.75,18.75,NaN,0,GMT,GMT
220,-2.75,19,NaN,0,GMT,GMT
221,-2.75,19.25,NaN,0,GMT,GMT
222,-2.75,19.5,NaN,0,GMT,GMT
223,-2.75,19.75,NaN,0,GMT,GMT
224,-2.5,16,NaN,0,GMT,GMT
225,-2.5,16.25,NaN,0,GMT,GMT
226,-2.5,16.5,NaN,0,GMT,GMT
227,-2.5,16.75,NaN,0,GMT,GMT
228,-2.5,17,NaN,0,GMT,GMT
229,-2.5,17.25,NaN,0,GMT,GMT
230,-2.5,17.5,NaN,0,GMT,GMT
231,-2.5,17.75,NaN,0,GMT,GMT
232,-2.5,18,NaN,0,GMT,GMT
233,-2.5,18.25,NaN,0,GMT,GMT
234,-2.5,18.5,NaN,0,GMT,GMT
235,-2.5,18.75,NaN,0,GMT,GMT
236,-2.5,19,NaN,0,GMT,GMT
237,-2.5,19.25,NaN,0,GMT,GMT
238,-2.5,19.5,NaN,0,GMT,GMT
239,-2.5,19.75,NaN,0,GMT,GMT
240,-2.25,16,NaN,0,GMT,GMT
241,-2.25,16.25,NaN,0,GMT,GMT
242,-2.25,16.5,NaN,0,GMT,GMT
243,-2.25,16.75,NaN,0,GMT,GMT
244,-2.25,17,NaN,0,GMT,GMT
245,-2.25,17.25,NaN,0,GMT,GMT
246,-2.25,17.5,NaN,0,GMT,GMT
247,-2.25,17.75,NaN,0,GMT,GMT
248,-2.25,18,NaN,0,GMT,GMT
249,-2.25,18.25,NaN,0,GMT,GMT
250,-2.25,18.5,NaN,0,GMT,GMT
251,-2.25,18.75,NaN,0,GMT,GMT
252,-2.25,19,NaN,0,GMT,GMT
253,-2.25,19.25,NaN,0,GMT,GMT
254,-2.25,19.5,NaN,0,GMT,GMT
255,-2.25,19.75,NaN,0,GMT,GMT